22,28,5,1,KCB,TD,0,0,98
29,16,10,5,LAR,SLO,0,0,98
18,19,4,12,BA,BA,0,0,98
27,25,4,1,CA,AS,0,0,98
7,6,13,3,TBA,BD,0,0,98
24,23,3,4,FR,CH,0,0,98
9,12,2,24,BO,TBD,0,0,98
1,10,10,6,TP,KCG,0,0,98
4,3,2,1,AA,WC,0,0,98
24,23,2,6,FR,CH,0,0,99
7,6,1,14,TBA,BD,0,0,99
5,8,0,7,BR,OS,0,0,99
21,20,8,7,PS,SC,0,0,99
2,1,2,9,ARC,TP,0,0,99
17,15,7,11,TA,TBH,0,0,99
26,0,3,4,TBB,BA,0,0,99
29,16,16,6,LAR,SLO,0,0,99
18,19,4,5,BA,BA,0,0,99
27,25,1,11,CA,AS,0,0,99
11,14,4,12,AA,CB,0,0,99
13,10,6,17,PA,KCG,0,0,99
24,23,2,8,FR,CH,0,0,100
7,6,4,17,TBA,BD,0,0,100
5,8,3,4,BR,OS,0,0,100
9,12,13,3,BO,TBD,0,0,100
22,28,9,3,KCB,TD,0,0,100
2,1,10,8,ARC,TP,0,0,100
17,15,3,4,TA,TBH,0,0,100
26,0,3,4,TBB,BA,0,0,100
18,19,22,2,BA,BA,0,0,100
27,25,8,6,CA,AS,0,0,100
11,14,5,27,AA,CB,0,0,100
29,16,3,2,LAR,SLO,0,0,100
21,20,2,9,PS,SC,0,0,100
13,10,6,4,PA,KCG,0,0,100
4,3,9,4,AA,WC,0,0,100
20,23,0,4,SC,CH,0,0,101
9,12,0,4,BO,TBD,0,0,101
18,15,8,5,BA,TBH,0,0,101
26,27,5,4,TBB,CA,0,0,101
2,0,8,1,ARC,BA,0,0,101
4,3,11,10,AA,WC,0,0,101
11,14,17,4,AA,CB,0,0,101
5,8,0,9,BR,OS,0,0,101
22,28,18,10,KCB,TD,0,0,101
13,10,6,4,PA,KCG,0,0,101
20,23,6,5,SC,CH,0,0,102
5,6,4,3,BR,BD,0,0,102
24,22,1,7,FR,KCB,0,0,102
7,9,1,11,TBA,BO,0,0,102
8,12,2,7,OS,TBD,0,0,102
11,13,4,12,AA,PA,0,0,102
21,17,5,2,PS,TA,0,0,102
4,1,7,8,AA,TP,0,0,102
18,15,7,2,BA,TBH,0,0,102
26,27,4,1,TBB,CA,0,0,102
10,14,1,15,KCG,CB,0,0,102
2,0,2,3,ARC,BA,0,0,102
29,3,3,7,LAR,WC,0,0,102
19,16,4,9,BA,SLO,0,0,102
25,28,6,9,AS,TD,0,0,102
5,6,2,5,BR,BD,0,0,103
24,22,5,3,FR,KCB,0,0,103
8,12,7,6,OS,TBD,0,0,103
21,17,3,5,PS,TA,0,0,103
18,15,1,12,BA,TBH,0,0,103
10,14,16,18,KCG,CB,0,0,103
4,1,7,5,AA,TP,0,0,103
7,9,2,27,TBA,BO,0,0,103
20,23,11,9,SC,CH,0,0,103
25,28,14,7,AS,TD,0,0,103
11,13,9,1,AA,PA,0,0,103
26,27,3,16,TBB,CA,0,0,103
2,0,6,1,ARC,BA,0,0,103
29,3,6,3,LAR,WC,0,0,103
19,16,8,5,BA,SLO,0,0,103
29,3,9,2,LAR,WC,0,0,104
5,6,10,14,BR,BD,0,0,104
11,13,2,10,AA,PA,0,0,104
24,22,10,6,FR,KCB,0,0,104
7,9,0,16,TBA,BO,0,0,104
20,23,5,7,SC,CH,0,0,104
25,28,4,3,AS,TD,0,0,104
8,12,8,16,OS,TBD,0,0,104
4,1,11,10,AA,TP,0,0,104
21,17,0,4,PS,TA,0,0,104
19,16,11,7,BA,SLO,0,0,104
18,15,6,7,BA,TBH,0,0,104
26,27,5,4,TBB,CA,0,0,104
10,14,7,3,KCG,CB,0,0,104
2,0,4,9,ARC,BA,0,0,104
15,6,8,4,TBH,BD,0,0,105
24,22,7,2,FR,KCB,0,0,105
5,9,13,4,BR,BO,0,0,105
8,7,13,12,OS,TBA,0,0,105
14,13,5,1,CB,PA,0,0,105
26,28,4,13,TBB,TD,0,0,105
21,17,6,9,PS,TA,0,0,105
25,29,5,9,AS,LAR,0,0,105
11,3,11,5,AA,WC,0,0,105
4,1,4,18,AA,TP,0,0,105
